,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,Topic21,Topic22,Topic23,Topic24,Topic25,Topic26,Topic27,Topic28,Topic29,dominant_topic,author,year
Doc10,9.00900900902984e-05,9.009009009034073e-05,9.009009009034272e-05,9.009009009035674e-05,9.009009009033035e-05,9.009009009032338e-05,9.009009009039837e-05,9.009009009039868e-05,0.20264241382639517,9.009009009046073e-05,9.009009009035113e-05,9.009009009035412e-05,0.019078480913979404,9.009009009044262e-05,9.009009009037452e-05,9.009009009042907e-05,9.009009009037822e-05,9.009009009041511e-05,9.009009009036446e-05,9.009009009037213e-05,9.009009009036427e-05,9.009009009041007e-05,9.009009009047409e-05,0.030972281688729748,9.009009009037399e-05,9.009009009034931e-05,9.009009009034316e-05,9.009009009036418e-05,0.7363855005123626,0.008669070806273741,28,Babak Salimi,2020
Doc11,0.00013333333333352343,0.00013333333333362236,0.00013333333333373626,0.00013333333333377475,0.00013333333333358913,0.00013333333333359176,0.00013333333333366378,0.00013333333333373918,0.1468963414731619,0.00013333333333372398,0.00013333333333361973,0.00013333333333365082,0.00013333333333363212,0.00013333333333372796,0.00013333333333364765,0.00013333333333371379,0.00013333333333369533,0.00013333333333363567,0.0001333333333336467,0.00013333333333368652,0.0001333333333336561,0.0001333333333337374,0.49811861287642567,0.00013333333333372406,0.00013333333333371872,0.000133333333333638,0.00013333333333368083,0.00013333333333367112,0.3062006586161209,0.04531772036761623,22,Babak Salimi,2021
Doc12,3.7878787878854435e-05,3.7878787878873964e-05,3.7878787878876885e-05,3.7878787878892545e-05,3.787878787888069e-05,3.787878787886914e-05,3.7878787878879304e-05,3.7878787878898576e-05,3.787878787889276e-05,3.787878787889694e-05,3.787878787888339e-05,3.7878787878900067e-05,0.268845987728466,0.13143300213926337,3.787878787888036e-05,0.29547540093685254,3.787878787889738e-05,3.787878787888157e-05,3.787878787888381e-05,3.787878787889435e-05,3.787878787888471e-05,3.787878787889061e-05,0.02854220600957779,3.7878787878898433e-05,3.7878787878922374e-05,3.787878787886582e-05,3.787878787888397e-05,3.7878787878883654e-05,0.27475643348886836,3.787878787889559e-05,15,Arya Mazumdar,2016
Doc13,3.4470872113086284e-05,3.447087211310367e-05,3.447087211311892e-05,3.4470872113114446e-05,3.447087211311229e-05,3.4470872113096516e-05,3.4470872113109106e-05,3.4470872113129e-05,3.447087211311924e-05,3.447087211312289e-05,3.4470872113102106e-05,3.447087211311524e-05,3.447087211314459e-05,3.447087211314592e-05,3.447087211311524e-05,0.8754886878056397,3.44708721131162e-05,3.44708721131297e-05,3.4470872113118e-05,3.447087211311493e-05,3.4470872113119386e-05,3.447087211313438e-05,0.1063966825152207,3.447087211312134e-05,3.447087211312731e-05,3.447087211309626e-05,3.447087211311102e-05,3.4470872113110665e-05,0.017183916132085246,3.4470872113139714e-05,15,Arya Mazumdar,2017
Doc14,4.629629629645401e-05,4.6296296296487656e-05,4.629629629649817e-05,4.629629629649727e-05,4.629629629649462e-05,4.629629629646807e-05,4.629629629649653e-05,0.031061823804730552,4.629629629651249e-05,4.6296296296507266e-05,4.629629629649206e-05,4.6296296296485663e-05,0.09419705681450552,0.009783876113286145,4.6296296296502624e-05,0.5119219862098073,4.629629629650475e-05,4.629629629649329e-05,4.6296296296498586e-05,4.629629629648565e-05,4.629629629651142e-05,4.629629629653063e-05,0.2666613676816781,4.629629629649684e-05,4.629629629652074e-05,4.629629629647369e-05,4.629629629649464e-05,4.6296296296492494e-05,0.08526277826487641,4.629629629648736e-05,15,Arya Mazumdar,2018
Doc15,4.011231448057806e-05,4.01123144806019e-05,4.011231448060165e-05,4.011231448059577e-05,4.011231448060484e-05,4.0112314480590615e-05,4.0112314480607874e-05,4.011231448062111e-05,4.0112314480624286e-05,4.011231448062134e-05,4.011231448059304e-05,4.011231448059702e-05,0.07353055770740811,4.011231448063648e-05,4.0112314480618445e-05,0.7872875215569608,4.011231448062197e-05,4.011231448059565e-05,4.0112314480596334e-05,4.0112314480604994e-05,4.0112314480616805e-05,4.01123144806345e-05,0.0400795001709617,4.011231448061038e-05,4.011231448061677e-05,4.0112314480588426e-05,4.0112314480606817e-05,4.0112314480601355e-05,0.09805950038817364,4.0112314480608646e-05,15,Arya Mazumdar,2019
Doc16,4.4267374944732226e-05,4.426737494476381e-05,4.42673749447496e-05,4.426737494475919e-05,4.42673749447754e-05,4.426737494474796e-05,4.4267374944764765e-05,4.426737494477411e-05,4.426737494477855e-05,4.426737494476458e-05,4.4267374944755746e-05,4.426737494475824e-05,4.426737494481185e-05,4.4267374944807984e-05,4.4267374944768025e-05,0.41444058038842346,4.4267374944783895e-05,4.4267374944759995e-05,4.426737494476271e-05,4.426737494476608e-05,4.426737494481061e-05,4.4267374944793246e-05,0.07092500218575906,4.4267374944765064e-05,4.426737494481028e-05,4.4267374944742214e-05,4.4267374944768614e-05,4.426737494475983e-05,0.5134391983023086,4.426737494477053e-05,28,Arya Mazumdar,2020
Doc17,5.767012687434078e-05,5.767012687436449e-05,5.7670126874372704e-05,5.7670126874394876e-05,5.767012687437963e-05,5.7670126874355336e-05,5.7670126874403055e-05,5.767012687440472e-05,5.767012687441589e-05,5.767012687440346e-05,5.7670126874392464e-05,5.767012687440032e-05,0.06197513882389872,5.7670126874438346e-05,5.7670126874441375e-05,0.4014483479183833,5.767012687444495e-05,5.7670126874368936e-05,5.767012687442512e-05,5.767012687442627e-05,5.767012687440775e-05,5.767012687439944e-05,0.37504485847153535,5.76701268744071e-05,0.03818708729543439,5.7670126874361564e-05,5.7670126874387713e-05,5.767012687440746e-05,0.12190281431888818,5.767012687439965e-05,15,Arya Mazumdar,2021
Doc18,8.795074758142616e-05,8.795074758146252e-05,8.795074758148546e-05,8.795074758147612e-05,8.79507475815353e-05,8.795074758144787e-05,8.795074758148754e-05,8.795074758152899e-05,8.795074758151869e-05,0.15901091090270603,8.795074758145229e-05,8.795074758155189e-05,8.795074758150553e-05,8.795074758153809e-05,8.795074758153511e-05,8.795074758156624e-05,8.795074758149796e-05,8.795074758151476e-05,8.795074758147667e-05,8.795074758148834e-05,8.79507475816708e-05,8.795074758154903e-05,0.6299225488142426,8.795074758155082e-05,8.795074758152796e-05,8.795074758144893e-05,8.795074758151163e-05,8.795074758149401e-05,0.20869187009835055,8.795074758153948e-05,22,Berk Ustun,2016
Doc19,6.253908692948113e-05,6.253908692950479e-05,6.253908692951517e-05,6.253908692951714e-05,6.253908692955583e-05,6.253908692949429e-05,6.253908692953344e-05,0.00503676100320691,6.253908692957631e-05,0.2704826933168483,6.25390869295039e-05,6.253908692952547e-05,6.2539086929541e-05,6.25390869295659e-05,6.253908692954113e-05,6.253908692961714e-05,0.007512796287272932,6.253908692951958e-05,6.253908692952101e-05,6.253908692952073e-05,6.25390869295094e-05,6.253908692955514e-05,0.2739877360396682,0.4414165361797654,6.253908692954113e-05,6.253908692950143e-05,6.25390869295204e-05,6.253908692951814e-05,6.253908692959235e-05,6.25390869295423e-05,23,Berk Ustun,2017
