,HDSI_author,year,category_for
222,Vineet Bafna,2017,"['0601 Biochemistry and Cell Biology', '1112 Oncology and Carcinogenesis', '06 Biological Sciences', '0604 Genetics', '11 Medical and Health Sciences', '1107 Immunology', '0304 Medicinal and Biomolecular Chemistry', '03 Chemical Sciences']"
223,Vineet Bafna,2018,"['0601 Biochemistry and Cell Biology', '1112 Oncology and Carcinogenesis', '0607 Plant Biology', '06 Biological Sciences', '0604 Genetics', '11 Medical and Health Sciences']"
224,Vineet Bafna,2019,"['0601 Biochemistry and Cell Biology', '1112 Oncology and Carcinogenesis', '06 Biological Sciences', '0604 Genetics', '0104 Statistics', '11 Medical and Health Sciences', '01 Mathematical Sciences']"
225,Vineet Bafna,2020,"['0601 Biochemistry and Cell Biology', '1112 Oncology and Carcinogenesis', '06 Biological Sciences', '0604 Genetics', '1103 Clinical Sciences', '11 Medical and Health Sciences', '0299 Other Physical Sciences', '02 Physical Sciences']"
226,Vineet Bafna,2021,"['0601 Biochemistry and Cell Biology', '1112 Oncology and Carcinogenesis', '06 Biological Sciences', '0604 Genetics', '1102 Cardiorespiratory Medicine and Haematology', '1103 Clinical Sciences', '11 Medical and Health Sciences', '1107 Immunology']"
227,Virginia De Sa,2017,"['1701 Psychology', '1117 Public Health and Health Services', '1109 Neurosciences', '17 Psychology and Cognitive Sciences', '11 Medical and Health Sciences']"
228,Virginia De Sa,2018,"['22 Philosophy and Religious Studies', '1701 Psychology', '1109 Neurosciences', '0801 Artificial Intelligence and Image Processing', '17 Psychology and Cognitive Sciences', '2201 Applied Ethics', '11 Medical and Health Sciences', '08 Information and Computing Sciences']"
229,Virginia De Sa,2019,"['1702 Cognitive Sciences', '0801 Artificial Intelligence and Image Processing', '1109 Neurosciences', '17 Psychology and Cognitive Sciences', '11 Medical and Health Sciences', '08 Information and Computing Sciences']"
230,Virginia De Sa,2020,"['1701 Psychology', '0801 Artificial Intelligence and Image Processing', '1109 Neurosciences', '17 Psychology and Cognitive Sciences', '11 Medical and Health Sciences', '08 Information and Computing Sciences']"
231,Virginia De Sa,2021,"['08 Information and Computing Sciences', '0801 Artificial Intelligence and Image Processing']"
232,Yian Ma,2018,"['0104 Statistics', '01 Mathematical Sciences', '0102 Applied Mathematics']"
233,Yian Ma,2019,"['0601 Biochemistry and Cell Biology', '06 Biological Sciences', '0604 Genetics', '01 Mathematical Sciences', '0103 Numerical and Computational Mathematics']"
234,Yian Ma,2021,"['1403 Econometrics', '0104 Statistics', '14 Economics', '01 Mathematical Sciences']"
235,Yoav Freund,2017,"['1109 Neurosciences', '11 Medical and Health Sciences']"
236,Yoav Freund,2018,"['1109 Neurosciences', '08 Information and Computing Sciences', '0801 Artificial Intelligence and Image Processing', '11 Medical and Health Sciences']"
237,Yoav Freund,2019,"['10 Technology', '06 Biological Sciences', '11 Medical and Health Sciences']"
238,Yoav Freund,2021,"['08 Information and Computing Sciences', '0801 Artificial Intelligence and Image Processing']"
239,Young-Han Kim,2016,"['10 Technology', '1005 Communications Technologies', '0804 Data Format', '0101 Pure Mathematics', '01 Mathematical Sciences', '08 Information and Computing Sciences']"
240,Young-Han Kim,2017,"['10 Technology', '1005 Communications Technologies', '0804 Data Format', '0801 Artificial Intelligence and Image Processing', '08 Information and Computing Sciences']"
241,Young-Han Kim,2018,"['10 Technology', '0907 Environmental Engineering', '1005 Communications Technologies', '09 Engineering', '0804 Data Format', '0101 Pure Mathematics', '0906 Electrical and Electronic Engineering', '01 Mathematical Sciences', '0103 Numerical and Computational Mathematics', '08 Information and Computing Sciences']"
242,Young-Han Kim,2019,"['10 Technology', '1005 Communications Technologies', '09 Engineering', '0804 Data Format', '0801 Artificial Intelligence and Image Processing', '02 Physical Sciences', '0906 Electrical and Electronic Engineering', '01 Mathematical Sciences', '08 Information and Computing Sciences']"
243,Young-Han Kim,2020,"['10 Technology', '08 Information and Computing Sciences', '1005 Communications Technologies', '0804 Data Format', '0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '0806 Information Systems', '02 Physical Sciences']"
244,Young-Han Kim,2021,"['0804 Data Format', '08 Information and Computing Sciences']"
245,Yusu Wang,2016,"['0802 Computation Theory and Mathematics', '08 Information and Computing Sciences']"
246,Yusu Wang,2017,"['0101 Pure Mathematics', '1109 Neurosciences', '0801 Artificial Intelligence and Image Processing', '0802 Computation Theory and Mathematics', '11 Medical and Health Sciences', '01 Mathematical Sciences', '0806 Information Systems', '08 Information and Computing Sciences']"
247,Yusu Wang,2018,"['0101 Pure Mathematics', '0801 Artificial Intelligence and Image Processing', '0802 Computation Theory and Mathematics', '01 Mathematical Sciences', '0806 Information Systems', '08 Information and Computing Sciences']"
248,Yusu Wang,2019,"['0101 Pure Mathematics', '0801 Artificial Intelligence and Image Processing', '1109 Neurosciences', '11 Medical and Health Sciences', '01 Mathematical Sciences', '0806 Information Systems', '08 Information and Computing Sciences']"
249,Yusu Wang,2020,"['0101 Pure Mathematics', '0801 Artificial Intelligence and Image Processing', '1109 Neurosciences', '11 Medical and Health Sciences', '01 Mathematical Sciences', '08 Information and Computing Sciences']"
250,Yusu Wang,2021,['03 Chemical Sciences']
251,Zhiting Hu,2016,"['0801 Artificial Intelligence and Image Processing', '0104 Statistics', '01 Mathematical Sciences', '0806 Information Systems', '08 Information and Computing Sciences']"
252,Zhiting Hu,2017,"['10 Technology', '1005 Communications Technologies', '1701 Psychology', '0801 Artificial Intelligence and Image Processing', '0104 Statistics', '17 Psychology and Cognitive Sciences', '01 Mathematical Sciences', '0806 Information Systems', '08 Information and Computing Sciences']"
253,Zhiting Hu,2018,"['1702 Cognitive Sciences', '0801 Artificial Intelligence and Image Processing', '17 Psychology and Cognitive Sciences', '0806 Information Systems', '08 Information and Computing Sciences']"
254,Zhiting Hu,2019,"['08 Information and Computing Sciences', '0801 Artificial Intelligence and Image Processing']"
255,Zhiting Hu,2020,"['1701 Psychology', '0801 Artificial Intelligence and Image Processing', '17 Psychology and Cognitive Sciences', '0103 Numerical and Computational Mathematics', '01 Mathematical Sciences', '08 Information and Computing Sciences']"
