,HDSI_author,year,category_for
57,Bradley Voytek,2018,"['1701 Psychology', '09 Engineering', '1109 Neurosciences', '0906 Electrical and Electronic Engineering', '17 Psychology and Cognitive Sciences', '11 Medical and Health Sciences']"
58,Bradley Voytek,2019,"['1117 Public Health and Health Services', '1109 Neurosciences', '11 Medical and Health Sciences']"
59,Bradley Voytek,2020,"['0601 Biochemistry and Cell Biology', '1701 Psychology', '06 Biological Sciences', '1109 Neurosciences', '1103 Clinical Sciences', '17 Psychology and Cognitive Sciences', '11 Medical and Health Sciences']"
60,Bradley Voytek,2021,"['0601 Biochemistry and Cell Biology', '1701 Psychology', '0102 Applied Mathematics', '06 Biological Sciences', '1109 Neurosciences', '17 Psychology and Cognitive Sciences', '11 Medical and Health Sciences', '01 Mathematical Sciences', '13 Education', '1302 Curriculum and Pedagogy', '08 Information and Computing Sciences', '1303 Specialist Studies In Education']"
61,David Danks,2016,"['0104 Statistics', '01 Mathematical Sciences']"
62,David Danks,2017,"['22 Philosophy and Religious Studies', '2202 History and Philosophy of Specific Fields', '0801 Artificial Intelligence and Image Processing', '2203 Philosophy', '0802 Computation Theory and Mathematics', '0104 Statistics', '01 Mathematical Sciences', '0803 Computer Software', '08 Information and Computing Sciences']"
63,David Danks,2018,"['22 Philosophy and Religious Studies', '1701 Psychology', '0801 Artificial Intelligence and Image Processing', '2203 Philosophy', '17 Psychology and Cognitive Sciences', '2201 Applied Ethics', '08 Information and Computing Sciences']"
64,David Danks,2019,"['22 Philosophy and Religious Studies', '1701 Psychology', '16 Studies in Human Society', '09 Engineering', '0912 Materials Engineering', '2203 Philosophy', '1103 Clinical Sciences', '17 Psychology and Cognitive Sciences', '11 Medical and Health Sciences', '1606 Political Science']"
65,David Danks,2020,"['2203 Philosophy', '22 Philosophy and Religious Studies', '08 Information and Computing Sciences', '0801 Artificial Intelligence and Image Processing']"
66,David Danks,2021,"['2203 Philosophy', '22 Philosophy and Religious Studies', '15 Commerce, Management, Tourism and Services', '1501 Accounting, Auditing and Accountability']"
67,Dimitris Politis,2016,"['0102 Applied Mathematics', '1403 Econometrics', '0104 Statistics', '14 Economics', '0103 Numerical and Computational Mathematics', '01 Mathematical Sciences']"
68,Dimitris Politis,2017,"['1403 Econometrics', '0104 Statistics', '01 Mathematical Sciences', '14 Economics']"
69,Dimitris Politis,2018,"['1702 Cognitive Sciences', '0907 Environmental Engineering', '09 Engineering', '1403 Econometrics', '17 Psychology and Cognitive Sciences', '0104 Statistics', '14 Economics', '01 Mathematical Sciences', '0103 Numerical and Computational Mathematics']"
70,Dimitris Politis,2019,"['0102 Applied Mathematics', '1403 Econometrics', '0104 Statistics', '14 Economics', '01 Mathematical Sciences']"
71,Dimitris Politis,2020,"['0801 Artificial Intelligence and Image Processing', '1403 Econometrics', '0104 Statistics', '14 Economics', '01 Mathematical Sciences', '08 Information and Computing Sciences']"
72,Dimitris Politis,2021,"['0101 Pure Mathematics', '0801 Artificial Intelligence and Image Processing', '1403 Econometrics', '0104 Statistics', '01 Mathematical Sciences', '14 Economics', '0103 Numerical and Computational Mathematics', '08 Information and Computing Sciences']"
73,Eran Mukamel,2016,"['06 Biological Sciences', '0604 Genetics']"
74,Eran Mukamel,2017,"['06 Biological Sciences', '1109 Neurosciences', '0604 Genetics', '17 Psychology and Cognitive Sciences', '11 Medical and Health Sciences']"
75,Eran Mukamel,2018,"['0601 Biochemistry and Cell Biology', '06 Biological Sciences', '1109 Neurosciences', '0604 Genetics', '0801 Artificial Intelligence and Image Processing', '11 Medical and Health Sciences', '08 Information and Computing Sciences']"
76,Eran Mukamel,2019,"['06 Biological Sciences', '1109 Neurosciences', '0604 Genetics', '1103 Clinical Sciences', '11 Medical and Health Sciences']"
77,Eran Mukamel,2020,"['0601 Biochemistry and Cell Biology', '06 Biological Sciences', '1109 Neurosciences', '0604 Genetics', '17 Psychology and Cognitive Sciences', '11 Medical and Health Sciences']"
78,Eran Mukamel,2021,"['0601 Biochemistry and Cell Biology', '06 Biological Sciences', '1109 Neurosciences', '0604 Genetics', '17 Psychology and Cognitive Sciences', '11 Medical and Health Sciences']"
79,"Ery, Arias-Castro ",2016,"['0102 Applied Mathematics', '1701 Psychology', '1117 Public Health and Health Services', '0801 Artificial Intelligence and Image Processing', '1103 Clinical Sciences', '1403 Econometrics', '0104 Statistics', '17 Psychology and Cognitive Sciences', '11 Medical and Health Sciences', '01 Mathematical Sciences', '14 Economics', '0806 Information Systems', '08 Information and Computing Sciences']"
80,"Ery, Arias-Castro ",2017,"['0102 Applied Mathematics', '09 Engineering', '1403 Econometrics', '0802 Computation Theory and Mathematics', '0104 Statistics', '0906 Electrical and Electronic Engineering', '14 Economics', '01 Mathematical Sciences', '0103 Numerical and Computational Mathematics', '08 Information and Computing Sciences']"
81,"Ery, Arias-Castro ",2018,"['0907 Environmental Engineering', '1701 Psychology', '16 Studies in Human Society', '1603 Demography', '09 Engineering', '0801 Artificial Intelligence and Image Processing', '1103 Clinical Sciences', '1403 Econometrics', '0104 Statistics', '17 Psychology and Cognitive Sciences', '11 Medical and Health Sciences', '01 Mathematical Sciences', '14 Economics', '0806 Information Systems', '08 Information and Computing Sciences']"
82,"Ery, Arias-Castro ",2019,"['0101 Pure Mathematics', '0801 Artificial Intelligence and Image Processing', '0104 Statistics', '01 Mathematical Sciences', '08 Information and Computing Sciences']"
